delta,pctl
43.33926,4.647769
43.33872,4.648036
43.33819,4.64857
43.33579,4.648836
43.33552,4.64937
43.33179,4.649637
43.33125,4.649903
43.33045,4.650704
43.32592,4.652038
43.32458,4.652838
43.32352,4.653638
43.32165,4.66004
43.30324,4.662174
43.29631,4.666443
43.28564,4.671511
43.26216,4.67818
43.23762,4.71606
43.12345,4.732066
43.07516,4.756341
43.00207,4.791287
42.88336,4.864379
42.66435,4.864646
42.66382,4.864912
42.66248,4.865179
42.66168,4.865446
42.66142,4.865979
42.66088,4.866513
42.65955,4.86678
42.65902,4.867047
42.65688,4.86838
42.65342,4.868647
42.65261,4.868914
42.65181,4.869714
42.64968,4.870781
42.64648,4.875583
42.62941,4.87825
42.6246,4.882519
42.6102,4.889721
42.58992,4.928935
42.48082,4.941206
42.44641,4.960413
42.39572,4.98122
42.3285,5.020167
42.20846,5.089258
41.99878,5.089525
41.99638,5.089792
41.99585,5.090058
41.99451,5.090325
41.99425,5.090592
41.99345,5.091926
41.98838,5.092192
41.98705,5.092993
41.98571,5.093793
41.98411,5.099128
41.96384,5.102063
41.9577,5.104997
41.94623,5.111933
41.92729,5.142877
41.82832,5.152214
41.79471,5.169286
41.74403,5.193295
41.6744,5.23571
41.55809,5.306668
41.35056,5.306935
41.35029,5.307201
41.35002,5.307468
41.34975,5.307735
41.34869,5.308002
41.34709,5.308802
41.34469,5.309069
41.34415,5.309336
41.34255,5.310403
41.33669,5.310936
41.33508,5.311203
41.33242,5.319206
41.30974,5.32294
41.30014,5.329609
41.28333,5.336278
41.26119,5.371758
41.15502,5.38963
41.11261,5.40697
41.05952,5.429911
40.98669,5.47446
40.85545,5.551554
40.63243,5.551821
40.63137,5.552088
40.63004,5.552354
40.62977,5.552621
40.62897,5.552888
40.6271,5.553155
40.62657,5.553421
40.62603,5.554489
40.62017,5.555022
40.61937,5.555289
40.61776,5.555556
40.61617,5.556889
40.61296,5.564359
40.59562,5.56836
40.58762,5.574496
40.57295,5.581431
40.55188,5.619845
40.4377,5.632383
40.39982,5.645987
40.35367,5.67213
40.27524,5.711077
40.156,5.786037
39.93112,5.786303
39.93085,5.78657
39.92979,5.786837
39.92899,5.78737
39.92819,5.787637
39.92739,5.788438
39.92579,5.788971
39.92419,5.789238
39.92392,5.789771
39.92312,5.790305
39.92258,5.793773
39.91298,5.794306
39.91165,5.79484
39.91085,5.795373
39.90871,5.802843
39.88871,5.804443
39.88311,5.809778
39.8655,5.816981
39.84416,5.860463
39.73239,5.876202
39.69637,5.892474
39.64409,5.918083
39.56913,5.958898
39.43735,6.038926
39.19246,6.039192
39.19139,6.039993
39.19033,6.04026
39.19006,6.04106
39.18926,6.041327
39.18873,6.041593
39.18686,6.04186
39.18446,6.042394
39.18339,6.045061
39.17646,6.045861
39.17459,6.046929
39.17165,6.047195
39.16899,6.053864
39.15112,6.056532
39.14418,6.058666
39.13511,6.062401
39.12044,6.068803
39.10096,6.106683
38.98306,6.11602
38.95105,6.13656
38.89689,6.158168
38.8254,6.200049
38.69282,6.267273
38.46421,6.26754
38.4626,6.267806
38.46234,6.268073
38.46207,6.268607
38.46154,6.268873
38.45914,6.26914
38.45887,6.270207
38.45407,6.271007
38.45167,6.271541
38.45007,6.27901
38.42553,6.280611
38.42152,6.283812
38.41139,6.289147
38.39538,6.296083
38.37617,6.328361
38.26014,6.343833
38.22039,6.360906
38.17077,6.388115
38.09261,6.433198
37.96616,6.508691
37.73542,6.508958
37.73515,6.509758
37.73381,6.510825
37.73088,6.511092
37.73035,6.511359
37.72928,6.511892
37.72821,6.513493
37.72075,6.51376
37.71914,6.514827
37.71674,6.51536
37.71514,6.522029
37.69593,6.52363
37.6906,6.526831
37.68126,6.533233
37.66606,6.542036
37.64205,6.586318
37.50947,6.603391
37.46439,6.622598
37.40677,6.64874
37.33181,6.693823
37.29873,6.69409
37.20616,6.773851
36.96208,6.774118
36.96021,6.774918
36.95994,6.775185
36.95861,6.775452
36.95781,6.775718
36.95701,6.776252
36.95514,6.777052
36.95354,6.777852
36.95087,6.780253
36.94367,6.780787
36.94234,6.781054
36.94127,6.782121
36.93967,6.787723
36.91806,6.78959
36.91273,6.793858
36.90232,6.799994
36.88792,6.811464
36.86391,6.811731
36.85777,6.853879
36.73053,6.874153
36.68385,6.89336
36.63076,6.920303
36.61716,6.920569
36.58808,6.920836
36.57954,6.921103
36.57821,6.92137
36.5614,6.921636
36.5494,6.961917
36.47284,6.962184
36.4563,6.962451
36.41575,7.043279
36.38507,7.043546
