wpm,pctl
198.27,0.3238473
198.25,0.3243808
198.24,0.3246476
198.23,0.3249144
198.21,0.3254479
198.16,0.3257147
198.01,0.3259814
198,0.3262482
197.87,0.3265149
197.73,0.3267817
197.6,0.3291825
197.59,0.3297161
197.58,0.3310499
197.57,0.3315834
197.56,0.3323837
197.55,0.3329172
197.54,0.3331839
197.53,0.3339842
197.51,0.334251
197.5,0.3345178
197.49,0.3347845
197.47,0.3382524
197.46,0.3385192
197.44,0.3393194
197.42,0.3395862
197.35,0.339853
197.11,0.3401197
196.8,0.3425206
196.79,0.3454549
196.78,0.3467887
196.77,0.3483893
196.76,0.3497231
196.75,0.3499899
196.74,0.3502566
196.73,0.3513237
196.72,0.3518572
196.71,0.3526575
196.68,0.353191
196.67,0.3553251
196.66,0.3555918
196.64,0.3561254
196.63,0.3563921
196.62,0.3566589
196.6,0.3571924
196.55,0.3574592
196.53,0.3577259
196.3,0.3579927
196.01,0.3582594
196,0.3614606
195.99,0.3638614
195.98,0.3662623
195.97,0.3689299
195.96,0.3702637
195.95,0.3718642
195.94,0.372131
195.92,0.3729313
195.91,0.3737316
195.87,0.377733
195.86,0.3782665
195.85,0.3785332
195.84,0.3790668
195.83,0.3793335
195.79,0.3804006
195.78,0.3806673
195.76,0.3809341
195.74,0.3817344
195.69,0.3825347
195.68,0.3828014
195.61,0.3830682
195.2,0.3865361
195.19,0.3889369
195.18,0.3916045
195.17,0.3934718
195.16,0.3956059
195.15,0.3972065
195.14,0.39774
195.13,0.3990738
195.12,0.3998741
195.11,0.4004076
195.1,0.4012079
195.09,0.4014747
195.08,0.4017414
195.07,0.4052093
195.01,0.4054761
195,0.4060096
194.99,0.4062763
194.94,0.4068099
194.85,0.4070766
194.81,0.4073434
194.7,0.4076101
194.4,0.4113448
194.39,0.4129454
194.38,0.4142792
194.37,0.4172135
194.36,0.4198811
194.35,0.4212149
194.34,0.4217485
194.33,0.422282
194.32,0.4241493
194.31,0.4246828
194.29,0.4252163
194.28,0.4257499
194.27,0.4294845
194.26,0.430018
194.23,0.4302848
194.22,0.4305516
194.21,0.4313518
194.19,0.4316186
194.14,0.4321521
194.13,0.4324189
193.63,0.4329524
193.6,0.4396214
193.59,0.4428225
193.58,0.4444231
193.57,0.4454901
193.56,0.4476242
193.55,0.4500251
193.54,0.4513589
193.53,0.4516256
193.52,0.4524259
193.51,0.453493
193.5,0.4540265
193.49,0.4542932
193.48,0.4548268
193.47,0.4585614
193.46,0.4588282
193.45,0.4593617
193.43,0.4598952
193.42,0.4604287
193.4,0.4606955
193.39,0.4609623
193.34,0.461229
193.28,0.4614958
192.8,0.4676313
192.79,0.4700321
192.78,0.472433
192.77,0.4751006
192.76,0.4783017
192.75,0.4807025
192.74,0.4815028
192.73,0.4823031
192.72,0.4831034
192.71,0.4836369
192.69,0.4841704
192.68,0.4849707
192.67,0.4876383
192.66,0.4881718
192.65,0.4884386
192.64,0.4887054
192.62,0.4889721
192.61,0.4892389
192.58,0.4895056
192.55,0.4897724
192.51,0.4900392
192.42,0.4903059
192.29,0.4905727
192.01,0.4908394
192,0.4951076
191.99,0.498042
191.98,0.5001761
191.97,0.5025769
191.96,0.5039107
191.95,0.5049778
191.94,0.5052445
191.93,0.5063116
191.92,0.5081789
191.91,0.5089792
191.9,0.5092459
191.89,0.5100462
191.88,0.510313
191.87,0.5135141
191.85,0.5137809
191.83,0.5140476
191.82,0.5143144
191.81,0.5148479
191.8,0.5151147
191.79,0.5159149
191.78,0.5161817
191.69,0.5164485
191.62,0.5167152
191.42,0.516982
191.2,0.5231175
191.19,0.5257851
191.18,0.5281859
191.17,0.531387
191.16,0.5332544
191.15,0.5356552
191.14,0.5361887
